loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_kepmag
688,5689351,K00505.03,Kepler-169 b,CONFIRMED,CANDIDATE,,0,0,0,0,3.25058201,1.2660000e-05,-1.27E-05,133.69472,3.120000e-03,-3.12E-03,,,,,,,,,,,,,,5,,,q1_q17_dr25_tce,14.194
689,5689351,K00505.04,Kepler-169 d,CONFIRMED,CANDIDATE,,0,0,0,0,8.34819209,3.1290000e-05,-3.13E-05,136.84111,2.870000e-03,-2.87E-03,,,,,,,,,,,,,,5,,,q1_q17_dr25_tce,14.194
690,5689351,K00505.05,Kepler-169 f,CONFIRMED,CANDIDATE,,0,0,0,0,87.0912594,4.4060000e-04,-4.41E-04,187.31231,4.340000e-03,-4.34E-03,,,,,,,,,,,,,,5,,,q1_q17_dr25_tce,14.194
691,5780715,K00506.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,1,0,1.583160478,8.2800000e-07,-8.28E-07,169.965242,4.000000e-04,-4.00E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,14.731
692,5812960,K00507.01,Kepler-582 b,CONFIRMED,CANDIDATE,,0,0,0,0,18.49234792,3.3130000e-05,-3.31E-05,173.49816,1.410000e-03,-1.41E-03,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,14.915
693,6266741,K00508.01,Kepler-170 b,CONFIRMED,CANDIDATE,,0,0,0,0,7.930583519,9.4100000e-06,-9.41E-06,169.516944,9.690000e-04,-9.69E-04,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,14.387
694,6266741,K00508.02,Kepler-170 c,CONFIRMED,CANDIDATE,,0,0,0,0,16.6658994,2.9700000e-05,-2.97E-05,180.20215,1.450000e-03,-1.45E-03,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,14.387
695,6381846,K00509.01,Kepler-171 b,CONFIRMED,CANDIDATE,,0,0,0,0,4.16696628,4.0670000e-06,-4.07E-06,169.715517,7.440000e-04,-7.44E-04,,,,,,,,,,,,,,3,,,q1_q17_dr25_tce,14.883
696,6381846,K00509.02,Kepler-171 c,CONFIRMED,CANDIDATE,,0,0,0,0,11.46347165,1.7060000e-05,-1.71E-05,137.38521,1.240000e-03,-1.24E-03,,,,,,,,,,,,,,3,,,q1_q17_dr25_tce,14.883
697,6381846,K00509.03,Kepler-171 d,CONFIRMED,CANDIDATE,,0,0,0,0,39.6034,2.6900000e-04,-2.69E-04,168.07114,5.320000e-03,-5.32E-03,,,,,,,,,,,,,,3,,,q1_q17_dr25_tce,14.883
698,6422155,K00510.01,Kepler-172 b,CONFIRMED,CANDIDATE,,0,0,0,0,2.940304817,4.7380000e-06,-4.74E-06,169.90496,1.250000e-03,-1.25E-03,,,,,,,,,,,,,,4,,,q1_q17_dr25_tce,14.532
699,6422155,K00510.02,Kepler-172 c,CONFIRMED,CANDIDATE,,0,0,0,0,6.38899658,1.3970000e-05,-1.40E-05,175.4761,1.720000e-03,-1.72E-03,,,,,,,,,,,,,,4,,,q1_q17_dr25_tce,14.532
700,6422155,K00510.03,Kepler-172 d,CONFIRMED,CANDIDATE,,0,0,0,0,14.62709685,6.5530000e-05,-6.55E-05,136.23467,3.580000e-03,-3.58E-03,,,,,,,,,,,,,,4,,,q1_q17_dr25_tce,14.532
701,6422155,K00510.04,Kepler-172 e,CONFIRMED,CANDIDATE,,0,0,0,0,35.1184432,2.1680000e-04,-2.17E-04,152.12282,4.470000e-03,-4.47E-03,,,,,,,,,,,,,,4,,,q1_q17_dr25_tce,14.532
702,6451936,K00511.01,Kepler-173 c,CONFIRMED,CANDIDATE,,0,0,0,0,8.00579096,1.1230000e-05,-1.12E-05,170.50325,1.180000e-03,-1.18E-03,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,14.209
703,6451936,K00511.02,Kepler-173 b,CONFIRMED,CANDIDATE,,0,0,0,0,4.26374378,1.6960000e-05,-1.70E-05,133.72073,3.070000e-03,-3.07E-03,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,14.209
704,6838050,K00512.01,Kepler-583 b,CONFIRMED,CANDIDATE,,0,0,0,0,6.51003001,1.3190000e-05,-1.32E-05,172.91588,1.540000e-03,-1.54E-03,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,14.825
705,6937692,K00513.01,Kepler-584 b,CONFIRMED,CANDIDATE,,0,0,0,0,35.18105723,9.8070000e-05,-9.81E-05,170.09969,2.250000e-03,-2.25E-03,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,14.856
706,7602070,K00514.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,0,11.75560012,3.5040000e-05,-3.50E-05,176.07519,2.570000e-03,-2.57E-03,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,14.356
707,7812179,K00515.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,1,17.79421914,2.1670000e-05,-2.17E-05,169.605214,9.570000e-04,-9.57E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,14.427
708,7840044,K00516.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,1,13.54204116,6.3500000e-05,-6.35E-05,171.09767,3.940000e-03,-3.94E-03,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,14.53
709,8015907,K00517.01,Kepler-585 b,CONFIRMED,CANDIDATE,,0,0,0,0,2.752359689,1.7380000e-06,-1.74E-06,171.259808,5.010000e-04,-5.01E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,14.034
710,8017703,K00518.01,Kepler-174 b,CONFIRMED,CANDIDATE,,0,0,0,0,13.98177862,1.4780000e-05,-1.48E-05,181.975114,8.390000e-04,-8.39E-04,,,,,,,,,,,,,,3,,,q1_q17_dr25_tce,14.287
711,8017703,K00518.02,Kepler-174 c,CONFIRMED,CANDIDATE,,0,0,0,0,44.0003975,1.5050000e-04,-1.51E-04,210.76222,2.710000e-03,-2.71E-03,,,,,,,,,,,,,,3,,,q1_q17_dr25_tce,14.287
712,8017703,K00518.03,Kepler-174 d,CONFIRMED,CANDIDATE,,0,0,0,0,247.354914,1.3910000e-03,-1.39E-03,364.15832,3.340000e-03,-3.34E-03,,,,,,,,,,,,,,3,,,q1_q17_dr25_tce,14.287
713,8022244,K00519.01,Kepler-175 b,CONFIRMED,CANDIDATE,,0,0,0,0,11.90352088,2.8980000e-05,-2.90E-05,178.34161,1.810000e-03,-1.81E-03,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,14.939
714,8022244,K00519.02,Kepler-175 c,CONFIRMED,CANDIDATE,,0,0,0,0,34.0350605,1.4100000e-04,-1.41E-04,134.42752,3.460000e-03,-3.46E-03,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,14.939
715,8037145,K00520.01,Kepler-176 c,CONFIRMED,CANDIDATE,,0,0,0,0,12.75934489,1.8770000e-05,-1.88E-05,170.32152,1.190000e-03,-1.19E-03,,,,,,,,,,,,,,4,,,q1_q17_dr25_tce,14.55
716,8037145,K00520.02,Kepler-176 b,CONFIRMED,CANDIDATE,,0,0,0,0,5.433132902,9.5260000e-06,-9.53E-06,138.36644,1.480000e-03,-1.48E-03,,,,,,,,,,,,,,4,,,q1_q17_dr25_tce,14.55
717,8037145,K00520.03,Kepler-176 d,CONFIRMED,CANDIDATE,,0,0,0,0,25.75274977,6.3890000e-05,-6.39E-05,136.43851,1.860000e-03,-1.86E-03,,,,,,,,,,,,,,4,,,q1_q17_dr25_tce,14.55
718,8037145,K00520.04,Kepler-176 e,CONFIRMED,CANDIDATE,,0,0,0,0,51.1658019,4.3080000e-04,-4.31E-04,172.30921,6.730000e-03,-6.73E-03,,,,,,,,,,,,,,4,,,q1_q17_dr25_tce,14.55
719,8162789,K00521.01,Kepler-1989 b,CONFIRMED,CANDIDATE,,0,0,0,0,10.16102353,9.1760000e-06,-9.18E-06,172.000736,7.410000e-04,-7.41E-04,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,14.633
720,8162789,K00521.02,,CANDIDATE,CANDIDATE,,0,0,0,0,10.8206034,1.5680000e-04,-1.57E-04,140.5078,1.200000e-02,-1.20E-02,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,14.633
721,8265218,K00522.01,,CANDIDATE,CANDIDATE,,0,0,0,0,12.82993461,1.5990000e-05,-1.60E-05,169.944919,9.970000e-04,-9.97E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,14.406
722,8806123,K00523.01,Kepler-177 c,CONFIRMED,CANDIDATE,,0,0,0,0,49.41121127,6.2730000e-05,-6.27E-05,198.238709,9.230000e-04,-9.23E-04,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,15
723,8806123,K00523.02,Kepler-177 b,CONFIRMED,CANDIDATE,,0,0,0,0,36.8567758,1.6220000e-04,-1.62E-04,138.90683,3.640000e-03,-3.64E-03,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,15
724,8934495,K00524.01,Kepler-1721 b,CONFIRMED,CANDIDATE,,0,0,0,0,4.592393816,3.0230000e-06,-3.02E-06,172.004723,5.230000e-04,-5.23E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,14.868
725,9119458,K00525.01,,CANDIDATE,CANDIDATE,,0,0,0,0,11.53029332,1.3900000e-05,-1.39E-05,173.726435,9.070000e-04,-9.07E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,14.539
726,9157634,K00526.01,Kepler-586 b,CONFIRMED,CANDIDATE,,0,0,0,0,2.104721971,8.8600000e-07,-8.86E-07,171.044219,3.340000e-04,-3.34E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,14.427
727,9636569,K00527.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,1,10.63624422,5.2160000e-05,-5.22E-05,171.69616,4.170000e-03,-4.17E-03,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,14.433
728,9941859,K00528.01,Kepler-178 b,CONFIRMED,CANDIDATE,,0,0,0,0,9.57665962,1.0650000e-05,-1.07E-05,176.683759,9.000000e-04,-9.00E-04,,,,,,,,,,,,,,3,,,q1_q17_dr25_tce,14.598
729,9941859,K00528.02,Kepler-178 d,CONFIRMED,CANDIDATE,,0,0,0,0,96.6781852,2.7700000e-04,-2.77E-04,140.18339,2.510000e-03,-2.51E-03,,,,,,,,,,,,,,3,,,q1_q17_dr25_tce,14.598
730,9941859,K00528.03,Kepler-178 c,CONFIRMED,CANDIDATE,,0,0,0,0,20.55280311,3.5740000e-05,-3.57E-05,145.02837,1.380000e-03,-1.38E-03,,,,,,,,,,,,,,3,,,q1_q17_dr25_tce,14.598
731,10068030,K00529.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,2.023123903,1.2540000e-06,-1.25E-06,170.513161,4.760000e-04,-4.76E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,14.977
732,10266615,K00530.01,Kepler-587 b,CONFIRMED,CANDIDATE,,0,0,0,0,10.94026745,3.0140000e-05,-3.01E-05,170.30551,2.210000e-03,-2.21E-03,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,14.909
733,10395543,K00531.01,,CANDIDATE,CANDIDATE,,0,0,0,0,3.687469832,3.9000000e-07,-3.90E-07,170.8803594,8.450000e-05,-8.45E-05,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,14.418
734,10454313,K00532.01,Kepler-588 b,CONFIRMED,CANDIDATE,,0,0,0,0,4.221626193,5.0230000e-06,-5.02E-06,173.699895,9.190000e-04,-9.19E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,14.708
735,10513530,K00533.01,Kepler-589 b,CONFIRMED,CANDIDATE,,0,0,0,0,16.54967098,4.3780000e-05,-4.38E-05,171.69398,2.080000e-03,-2.08E-03,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,14.68
736,10513530,K00533.02,Kepler-589 c,CONFIRMED,CANDIDATE,,0,0,0,0,3.52467888,3.0440000e-05,-3.04E-05,131.63994,6.870000e-03,-6.87E-03,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,14.68
737,10554999,K00534.01,Kepler-179 c,CONFIRMED,CANDIDATE,,0,0,0,0,6.400157105,9.0200000e-06,-9.02E-06,174.02214,1.100000e-03,-1.10E-03,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,14.613
738,10554999,K00534.02,Kepler-179 b,CONFIRMED,CANDIDATE,,0,0,0,0,2.735900074,4.5020000e-06,-4.50E-06,171.0964,1.280000e-03,-1.28E-03,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,14.613
739,10873260,K00535.01,Kepler-590 b,CONFIRMED,CANDIDATE,,0,0,0,0,5.852968845,4.9780000e-06,-4.98E-06,171.181624,6.500000e-04,-6.50E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,14.434
740,10965008,K00536.01,Kepler-591 b,CONFIRMED,CANDIDATE,,0,0,0,0,81.1701587,3.8380000e-04,-3.84E-04,178.58702,3.300000e-03,-3.30E-03,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,14.499
741,11073351,K00537.01,Kepler-592 b,CONFIRMED,CANDIDATE,,0,0,0,0,2.820190603,3.5920000e-06,-3.59E-06,170.787705,9.730000e-04,-9.73E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,14.665
742,11090765,K00538.01,Kepler-593 b,CONFIRMED,CANDIDATE,,0,0,0,0,21.21712312,6.1920000e-05,-6.19E-05,171.64936,2.310000e-03,-2.31E-03,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,14.56
743,11246364,K00539.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,0,0,200,,,171.27413,,,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,14.133
744,11521048,K00540.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,0,25.70280003,3.8000000e-05,-3.80E-05,194.82512,1.170000e-03,-1.17E-03,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,14.917
745,11656721,K00541.01,Kepler-594 b,CONFIRMED,CANDIDATE,,0,0,0,0,13.64617478,3.4070000e-05,-3.41E-05,180.34991,2.050000e-03,-2.05E-03,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,14.748
746,11669239,K00542.01,Kepler-180 c,CONFIRMED,CANDIDATE,,0,0,0,0,41.8854433,1.5140000e-04,-1.51E-04,178.6919,3.010000e-03,-3.01E-03,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,14.35
747,11669239,K00542.02,Kepler-180 b,CONFIRMED,CANDIDATE,,0,0,0,0,13.81733587,9.2630000e-05,-9.26E-05,135.03413,5.370000e-03,-5.37E-03,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,14.35
748,11823054,K00543.01,Kepler-181 c,CONFIRMED,CANDIDATE,,0,0,0,0,4.302139338,4.6440000e-06,-4.64E-06,173.438922,8.840000e-04,-8.84E-04,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,14.707
749,11823054,K00543.02,Kepler-181 b,CONFIRMED,CANDIDATE,,0,0,0,0,3.137845914,7.0080000e-06,-7.01E-06,133.55689,1.890000e-03,-1.89E-03,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,14.707
750,11913012,K00544.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,1,3.74782314,1.1120000e-05,-1.11E-05,171.66634,2.360000e-03,-2.36E-03,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,14.763
751,11972666,K00545.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,0,1.09173174,2.6190000e-06,-2.62E-06,170.37724,1.880000e-03,-1.88E-03,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,14.689
752,12058931,K00546.01,Kepler-182 c,CONFIRMED,CANDIDATE,,0,0,0,0,20.68420772,5.1680000e-05,-5.17E-05,170.19034,1.980000e-03,-1.98E-03,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,14.896
753,12058931,K00546.02,Kepler-182 b,CONFIRMED,CANDIDATE,,0,0,0,0,9.82578495,3.7930000e-05,-3.79E-05,131.42495,3.360000e-03,-3.36E-03,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,14.896
754,12116489,K00547.01,Kepler-595 b,CONFIRMED,CANDIDATE,,0,0,0,0,25.30291816,2.8860000e-05,-2.89E-05,188.060148,9.010000e-04,-9.01E-04,,,,,,,,,,,,,,3,,,q1_q17_dr25_tce,14.773
755,12116489,K00547.02,,CANDIDATE,CANDIDATE,,0,0,0,0,7.34672485,8.2640000e-05,-8.26E-05,134.5155,1.080000e-02,-1.08E-02,,,,,,,,,,,,,,3,,,q1_q17_dr25_tce,14.773
756,12116489,K00547.03,Kepler-595 c,CONFIRMED,CANDIDATE,,0,0,0,0,12.3860474,1.5870000e-04,-1.59E-04,132.8175,1.050000e-02,-1.05E-02,,,,,,,,,,,,,,3,,,q1_q17_dr25_tce,14.773
757,12600735,K00548.01,Kepler-596 b,CONFIRMED,CANDIDATE,,0,0,0,0,21.30020491,3.9860000e-05,-3.99E-05,189.70595,1.500000e-03,-1.50E-03,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,14.02
758,12600735,K00548.02,,CANDIDATE,CANDIDATE,,0,0,0,0,6.0799457,1.1250000e-04,-1.13E-04,136.444,1.500000e-02,-1.50E-02,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,14.02
759,3437776,K00549.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,0,10.29767658,3.2970000e-05,-3.30E-05,131.73374,2.940000e-03,-2.94E-03,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,14.565
760,3437776,K00549.02,,FALSE POSITIVE,FALSE POSITIVE,,1,0,1,0,0.635587392,2.1400000e-06,-2.14E-06,133.41665,2.650000e-03,-2.65E-03,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,14.565
761,4165473,K00550.01,Kepler-597 b,CONFIRMED,CANDIDATE,,0,0,0,0,13.02363236,3.2060000e-05,-3.21E-05,178.52482,1.770000e-03,-1.77E-03,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,14.07
762,4270253,K00551.01,Kepler-183 c,CONFIRMED,CANDIDATE,,0,0,0,0,11.6370303,3.0910000e-05,-3.09E-05,178.84448,2.010000e-03,-2.01E-03,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,14.943
763,4270253,K00551.02,Kepler-183 b,CONFIRMED,CANDIDATE,,0,0,0,0,5.68798675,1.2830000e-05,-1.28E-05,133.95607,1.840000e-03,-1.84E-03,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,14.943
764,5122112,K00552.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,3.055171082,1.1760000e-06,-1.18E-06,171.099046,3.010000e-04,-3.01E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,14.741
765,5303551,K00553.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,1,1,2.399069173,8.7800000e-06,-8.78E-06,171.45413,2.890000e-03,-2.89E-03,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,14.888
766,5443837,K00554.01,,CANDIDATE,CANDIDATE,,0,0,0,0,3.65849707,6.1290000e-06,-6.13E-06,170.54381,1.320000e-03,-1.32E-03,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,14.545
767,5709725,K00555.01,Kepler-598 b,CONFIRMED,CANDIDATE,,0,0,0,0,3.701765401,9.3910000e-06,-9.39E-06,172.44778,2.030000e-03,-2.03E-03,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,14.759
768,5709725,K00555.02,Kepler-598 c,CONFIRMED,CANDIDATE,,0,0,0,0,86.4943704,4.9300000e-04,-4.93E-04,181.88967,4.640000e-03,-4.64E-03,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,14.759
769,5738496,K00556.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,1,9.50150926,6.3590000e-05,-6.36E-05,175.67002,5.060000e-03,-5.06E-03,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,14.799
770,5774349,K00557.01,Kepler-599 b,CONFIRMED,CANDIDATE,,0,0,0,0,15.65563866,3.2060000e-05,-3.21E-05,170.78358,1.620000e-03,-1.62E-03,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,14.97
771,5978361,K00558.01,Kepler-1722 b,CONFIRMED,CANDIDATE,,0,0,0,0,9.17858526,1.4320000e-05,-1.43E-05,173.08746,1.310000e-03,-1.31E-03,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,14.874
772,6422367,K00559.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,0,1,4.33144839,2.7990000e-05,-2.80E-05,173.69466,4.640000e-03,-4.64E-03,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,14.791
773,6501635,K00560.01,Kepler-600 b,CONFIRMED,CANDIDATE,,0,0,0,0,23.67513153,9.0320000e-05,-9.03E-05,179.27676,2.980000e-03,-2.98E-03,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,14.721
774,6665695,K00561.01,Kepler-601 b,CONFIRMED,CANDIDATE,,0,0,0,0,5.378868001,7.6900000e-06,-7.69E-06,169.61512,1.180000e-03,-1.18E-03,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,14.005
775,6681233,K00562.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,0,0,32.63286247,,,177.22208,,,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,14.949
776,6707833,K00563.01,Kepler-602 b,CONFIRMED,CANDIDATE,,0,0,0,0,15.28467725,6.4040000e-05,-6.40E-05,175.62345,3.130000e-03,-3.13E-03,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,14.519
777,6786037,K00564.01,Kepler-603 b,CONFIRMED,CANDIDATE,,0,0,0,0,21.05349939,8.9810000e-05,-8.98E-05,171.92457,2.780000e-03,-2.78E-03,,,,,,,,,,,,,,3,,,q1_q17_dr25_tce,14.854
778,6786037,K00564.02,Kepler-603 c,CONFIRMED,CANDIDATE,,0,0,0,0,127.905412,3.1900000e-04,-3.19E-04,246.46401,1.760000e-03,-1.76E-03,,,,,,,,,,,,,,3,,,q1_q17_dr25_tce,14.854
779,6786037,K00564.03,Kepler-603 d,CONFIRMED,CANDIDATE,,0,0,0,0,6.21716039,1.8990000e-05,-1.90E-05,131.71857,2.570000e-03,-2.57E-03,,,,,,,,,,,,,,3,,,q1_q17_dr25_tce,14.854
780,7025846,K00565.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,1,1,2.340523247,8.6030000e-06,-8.60E-06,170.19754,2.600000e-03,-2.60E-03,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,14.3
781,7119481,K00566.01,Kepler-604 b,CONFIRMED,CANDIDATE,,0,0,0,0,25.85499978,8.5450000e-05,-8.55E-05,192.57484,2.780000e-03,-2.78E-03,,,,,,,,,,,,,,3,,,q1_q17_dr25_tce,14.718
782,7119481,K00566.02,,CANDIDATE,CANDIDATE,,0,0,0,0,14.1573717,2.2730000e-04,-2.27E-04,135.5991,1.320000e-02,-1.32E-02,,,,,,,,,,,,,,3,,,q1_q17_dr25_tce,14.718
783,7119481,K00566.03,,CANDIDATE,CANDIDATE,,0,0,0,0,42.068554,1.0610000e-03,-1.06E-03,165.0211,2.600000e-02,-2.60E-02,,,,,,,,,,,,,,3,,,q1_q17_dr25_tce,14.718
784,7445445,K00567.01,Kepler-184 b,CONFIRMED,CANDIDATE,,0,0,0,0,10.68758211,1.4130000e-05,-1.41E-05,169.93115,1.040000e-03,-1.04E-03,,,,,,,,,,,,,,3,,,q1_q17_dr25_tce,14.338
785,7445445,K00567.02,Kepler-184 c,CONFIRMED,CANDIDATE,,0,0,0,0,20.30303506,5.9950000e-05,-6.00E-05,176.8028,2.230000e-03,-2.23E-03,,,,,,,,,,,,,,3,,,q1_q17_dr25_tce,14.338
786,7445445,K00567.03,Kepler-184 d,CONFIRMED,CANDIDATE,,0,0,0,0,29.02235217,8.6270000e-05,-8.63E-05,198.37025,2.420000e-03,-2.42E-03,,,,,,,,,,,,,,3,,,q1_q17_dr25_tce,14.338
787,7595157,K00568.01,Kepler-605 b,CONFIRMED,CANDIDATE,,0,0,0,0,3.383540239,5.3520000e-06,-5.35E-06,169.63859,1.270000e-03,-1.27E-03,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,14.14
788,7595157,K00568.02,Kepler-605 c,CONFIRMED,CANDIDATE,,0,0,0,0,2.358952404,8.7830000e-06,-8.78E-06,132.68957,3.170000e-03,-3.17E-03,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,14.14
789,8008206,K00569.01,Kepler-185 c,CONFIRMED,CANDIDATE,,0,0,0,0,20.72904234,6.3010000e-05,-6.30E-05,185.43113,2.400000e-03,-2.40E-03,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,14.458
790,8008206,K00569.02,Kepler-185 b,CONFIRMED,CANDIDATE,,0,0,0,0,1.632916419,3.2980000e-06,-3.30E-06,134.54956,1.660000e-03,-1.66E-03,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,14.458
791,8106610,K00570.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,0,12.39894005,3.3440000e-05,-3.34E-05,172.78184,2.120000e-03,-2.12E-03,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,14.755
792,8120608,K00571.01,Kepler-186 c,CONFIRMED,CANDIDATE,,0,0,0,0,7.26731094,1.1330000e-05,-1.13E-05,174.31292,1.260000e-03,-1.26E-03,,,,,,,,,,,,,,5,,,q1_q17_dr25_tce,14.625
793,8120608,K00571.02,Kepler-186 d,CONFIRMED,CANDIDATE,,0,0,0,0,13.3430025,2.5700000e-05,-2.57E-05,176.90387,1.460000e-03,-1.46E-03,,,,,,,,,,,,,,5,,,q1_q17_dr25_tce,14.625
794,8120608,K00571.03,Kepler-186 b,CONFIRMED,CANDIDATE,,0,0,0,0,3.886795001,6.8440000e-06,-6.84E-06,133.32959,1.370000e-03,-1.37E-03,,,,,,,,,,,,,,5,,,q1_q17_dr25_tce,14.625
795,8120608,K00571.04,Kepler-186 e,CONFIRMED,CANDIDATE,,0,0,0,0,22.40777833,7.3910000e-05,-7.39E-05,153.79858,2.590000e-03,-2.59E-03,,,,,,,,,,,,,,5,,,q1_q17_dr25_tce,14.625
796,8120608,K00571.05,Kepler-186 f,CONFIRMED,CANDIDATE,,0,0,0,0,129.945392,1.5560000e-03,-1.56E-03,176.82285,8.820000e-03,-8.82E-03,,,,,,,,,,,,,,5,,,q1_q17_dr25_tce,14.625
797,8193178,K00572.01,Kepler-187 c,CONFIRMED,CANDIDATE,,0,0,0,0,10.64021008,2.6950000e-05,-2.70E-05,179.77776,1.820000e-03,-1.82E-03,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,14.173
798,8193178,K00572.02,Kepler-187 b,CONFIRMED,CANDIDATE,,0,0,0,0,4.93883135,3.3120000e-05,-3.31E-05,135.95465,5.440000e-03,-5.44E-03,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,14.173
799,8344004,K00573.01,Kepler-188 c,CONFIRMED,CANDIDATE,,0,0,0,0,5.996533443,8.3850000e-06,-8.39E-06,172.50558,1.170000e-03,-1.17E-03,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,14.674
