loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_kepmag
24,9071386,K00023.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,4.693305543,3.8400000e-07,-3.84E-07,136.8627229,6.620000e-05,-6.62E-05,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,12.291
25,4743513,K00024.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,1,2.086075752,1.3920000e-06,-1.39E-06,170.965627,5.750000e-04,-5.75E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,12.963
26,10593759,K00025.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,3.132604547,1.4810000e-06,-1.48E-06,136.010454,3.940000e-04,-3.94E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,13.499
27,5021737,K00026.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,1,15.03946326,1.1120000e-05,-1.11E-05,144.137461,6.060000e-04,-6.06E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,11.997
28,3832716,K00027.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,1.141877248,6.6000000e-08,-6.60E-08,170.3386848,4.620000e-05,-4.62E-05,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,13.418
29,4247791,K00028.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,4.100870416,3.6100000e-07,-3.61E-07,168.1460533,7.020000e-05,-7.02E-05,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,11.26
30,6956014,K00031.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,0.925589891,3.6530000e-06,-3.65E-06,169.69275,3.190000e-03,-3.19E-03,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,10.795
31,5725087,K00033.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,0.366197145,1.0250000e-06,-1.03E-06,133.55969,2.270000e-03,-2.27E-03,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,11.059
32,6521045,K00041.01,Kepler-100 c,CONFIRMED,CANDIDATE,,0,0,0,0,12.81590421,1.9450000e-05,-1.95E-05,122.94682,1.190000e-03,-1.19E-03,,,,,,,,,,,,,,3,,,q1_q17_dr25_tce,11.197
33,6521045,K00041.02,Kepler-100 b,CONFIRMED,CANDIDATE,,0,0,0,0,6.88707073,2.2770000e-05,-2.28E-05,133.17797,2.680000e-03,-2.68E-03,,,,,,,,,,,,,,3,,,q1_q17_dr25_tce,11.197
34,6521045,K00041.03,Kepler-100 d,CONFIRMED,CANDIDATE,,0,0,0,0,35.3331932,2.2480000e-04,-2.25E-04,153.98249,4.890000e-03,-4.89E-03,,,,,,,,,,,,,,3,,,q1_q17_dr25_tce,11.197
35,8866102,K00042.01,Kepler-410 A b,CONFIRMED,CANDIDATE,,0,0,0,0,17.83367834,1.3850000e-05,-1.39E-05,181.233943,6.030000e-04,-6.03E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,9.364
36,9025922,K00043.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,1,11.32029599,1.7180000e-05,-1.72E-05,177.08388,1.270000e-03,-1.27E-03,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,13.29
37,8845026,K00044.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,66.46746217,3.0030000e-05,-3.00E-05,160.47651,3.580000e-04,-3.58E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,13.483
38,3742855,K00045.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,6.397185875,2.7900000e-06,-2.79E-06,174.365353,3.250000e-04,-3.25E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,13.133
39,10905239,K00046.01,Kepler-101 b,CONFIRMED,CANDIDATE,,0,0,0,0,3.487688776,1.1050000e-06,-1.11E-06,170.932217,2.530000e-04,-2.53E-04,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,13.77
40,10905239,K00046.02,Kepler-101 c,CONFIRMED,CANDIDATE,,0,0,0,0,6.02977241,6.2640000e-05,-6.26E-05,132.48162,7.570000e-03,-7.57E-03,,,,,,,,,,,,,,2,,,q1_q17_dr25_tce,13.77
41,7837302,K00048.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,23.83680888,1.5070000e-06,-1.51E-06,173.7759431,4.980000e-05,-4.98E-05,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,13.722
42,9527334,K00049.01,Kepler-461 b,CONFIRMED,CANDIDATE,,0,0,0,0,8.31377304,4.2060000e-05,-4.21E-05,175.99137,4.020000e-03,-4.02E-03,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,13.704
43,6056992,K00051.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,0,10.43114677,3.2670000e-06,-3.27E-06,133.936337,2.640000e-04,-2.64E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,13.761
44,3558981,K00052.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,2.98786272,2.3060000e-06,-2.31E-06,168.011233,6.180000e-04,-6.18E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,13.109
45,2445975,K00053.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,1,0,3.388887193,1.6810000e-06,-1.68E-06,172.259054,3.920000e-04,-3.92E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,13.513
46,8248939,K00061.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,1,0,1.63345402,2.8820000e-05,-2.88E-05,181.8556,1.320000e-02,-1.32E-02,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,12.179
47,11554435,K00063.01,Kepler-63 b,CONFIRMED,CANDIDATE,,0,0,0,0,9.43414171,2.1360000e-05,-2.14E-05,177.84346,1.770000e-03,-1.77E-03,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,11.582
48,7051180,K00064.01,,CANDIDATE,CANDIDATE,,0,0,0,0,1.951082219,3.8880000e-06,-3.89E-06,157.54316,1.590000e-03,-1.59E-03,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,13.143
49,10223615,K00065.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,0,0,27.25471993,,,176.52949,,,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,11.679
50,10620329,K00066.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,0.436282594,8.8000000e-08,-8.80E-08,170.702041,1.560000e-04,-1.56E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,11.002
51,8669092,K00068.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,1.000840564,6.4400000e-07,-6.44E-07,121.293771,5.610000e-04,-5.61E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,12.733
52,3544595,K00069.01,Kepler-93 b,CONFIRMED,CANDIDATE,,0,0,0,0,4.72674037,1.5700000e-06,-1.57E-06,134.926396,2.710000e-04,-2.71E-04,,,,,,,,,,,,,,1,,,q1_q17_dr25_tce,9.931
53,6850504,K00070.01,Kepler-20 c,CONFIRMED,CANDIDATE,,0,0,0,0,10.85409593,4.9770000e-06,-4.98E-06,138.608031,3.780000e-04,-3.78E-04,,,,,,,,,,,,,,5,,,q1_q17_dr25_tce,12.498
54,6850504,K00070.02,Kepler-20 b,CONFIRMED,CANDIDATE,,0,0,0,0,3.696121272,2.3940000e-06,-2.39E-06,134.5014,5.400000e-04,-5.40E-04,,,,,,,,,,,,,,5,,,q1_q17_dr25_tce,12.498
55,6850504,K00070.03,Kepler-20 d,CONFIRMED,CANDIDATE,,0,0,0,0,77.6114427,1.5360000e-04,-1.54E-04,164.7292,1.680000e-03,-1.68E-03,,,,,,,,,,,,,,5,,,q1_q17_dr25_tce,12.498
